hero_id,skill_id,name,type,coeff,cd,resource,crowd_control,effect_text
毕公高,毕公高_s2,清心诀,Active,2.4,8,怒30,,为全队恢复等同施法者120%ATK的生命并净化1个减益；周营：自身获得士气+1（可叠3层，攻防+3%/层×6秒）
毕公高,毕公高_s3,御符,Active,3.0,12,怒40,,为前排施加护盾（等同施法者18%最大生命），并提升效果抵抗+15%×6秒
毕公高,毕公高_s4,太清加持,Ultimate,5.0,18,怒80,,全队获得20%攻速+15%攻击×8秒，并立即回复30点怒
方叔,方叔_s1,普攻,Basic,1.0,0,0,,对当前目标造成100%ATK伤害
方叔,方叔_s2,穿云矢,Active,2.4,8,怒30,,直线穿透，命中目标与其后1名敌人，造成240%ATK；周营：自身获得士气+1（可叠3层，攻防+3%/层×6秒）
方叔,方叔_s3,连珠,Active,3.0,12,怒40,,对随机3个目标各造成150%ATK，暴击率+15%×6秒
方叔,方叔_s4,万箭归宗,Ultimate,5.0,18,怒80,,对全体造成480%ATK，若目标被易伤则额外+15%伤害
姬昌,姬昌_s1,普攻,Basic,1.0,0,0,,对当前目标造成100%ATK伤害
姬昌,姬昌_s2,清心诀,Active,2.4,8,怒30,,为全队恢复等同施法者120%ATK的生命并净化1个减益；周营：自身获得士气+1（可叠3层，攻防+3%/层×6秒）
姬昌,姬昌_s3,御符,Active,3.0,12,怒40,,为前排施加护盾（等同施法者18%最大生命），并提升效果抵抗+15%×6秒
姬昌,姬昌_s4,太清加持,Ultimate,5.0,18,怒80,,全队获得20%攻速+15%攻击×8秒，并立即回复30点怒
黄天化,黄天化_s1,普攻,Basic,1.0,0,0,,对当前目标造成100%ATK伤害
黄天化,黄天化_s2,裂阵斩,Active,2.4,8,怒30,,对扇形范围造成240%ATK，并附加破甲20%×6秒；周营：自身获得士气+1（可叠3层，攻防+3%/层×6秒）
黄天化,黄天化_s3,逐日突击,Active,3.0,12,怒40,击飞0.8s,突进至后排目标造成300%ATK并击飞
黄天化,黄天化_s4,天罡终击,Ultimate,5.0,18,怒80,,对生命最低的敌人造成500%ATK，若其生命低于30%则斩杀
黄天祥,黄天祥_s1,普攻,Basic,1.0,0,0,,对当前目标造成100%ATK伤害
黄天祥,黄天祥_s2,裂阵斩,Active,2.4,8,怒30,,对扇形范围造成240%ATK，并附加破甲20%×6秒；周营：自身获得士气+1（可叠3层，攻防+3%/层×6秒）
黄天祥,黄天祥_s3,逐日突击,Active,3.0,12,怒40,击飞0.8s,突进至后排目标造成300%ATK并击飞
黄天祥,黄天祥_s4,天罡终击,Ultimate,5.0,18,怒80,,对生命最低的敌人造成500%ATK，若其生命低于30%则斩杀
闳夭,闳夭_s1,普攻,Basic,1.0,0,0,,对当前目标造成100%ATK伤害
闳夭,闳夭_s2,清心诀,Active,2.4,8,怒30,,为全队恢复等同施法者120%ATK的生命并净化1个减益；周营：自身获得士气+1（可叠3层，攻防+3%/层×6秒）
闳夭,闳夭_s3,御符,Active,3.0,12,怒40,,为前排施加护盾（等同施法者18%最大生命），并提升效果抵抗+15%×6秒
闳夭,闳夭_s4,太清加持,Ultimate,5.0,18,怒80,,全队获得20%攻速+15%攻击×8秒，并立即回复30点怒
郑伦,郑伦_s1,普攻,Basic,1.0,0,0,,对当前目标造成100%ATK伤害
郑伦,郑伦_s2,穿云矢,Active,2.4,8,怒30,,直线穿透，命中目标与其后1名敌人，造成240%ATK；周营：自身获得士气+1（可叠3层，攻防+3%/层×6秒）
郑伦,郑伦_s3,连珠,Active,3.0,12,怒40,,对随机3个目标各造成150%ATK，暴击率+15%×6秒
郑伦,郑伦_s4,万箭归宗,Ultimate,5.0,18,怒80,,对全体造成480%ATK，若目标被易伤则额外+15%伤害
陈奇,陈奇_s1,普攻,Basic,1.0,0,0,,对当前目标造成100%ATK伤害
陈奇,陈奇_s2,裂阵斩,Active,2.4,8,怒30,,对扇形范围造成240%ATK，并附加破甲20%×6秒；周营：自身获得士气+1（可叠3层，攻防+3%/层×6秒）
陈奇,陈奇_s3,逐日突击,Active,3.0,12,怒40,击飞0.8s,突进至后排目标造成300%ATK并击飞
陈奇,陈奇_s4,天罡终击,Ultimate,5.0,18,怒80,,对生命最低的敌人造成500%ATK，若其生命低于30%则斩杀
帝辛,帝辛_s1,普攻,Basic,1.0,0,0,,对当前目标造成100%ATK伤害
帝辛,帝辛_s2,商纣天命,Active,2.4,8,怒30,减速30%×3s,对圆形范围造成240%ATK并减速
帝辛,帝辛_s3,酒池肉林,Active,3.0,12,怒40,禁疗3s,对单体造成320%ATK并施加易伤15%×6秒与禁疗
帝辛,帝辛_s4,焚书酷政,Ultimate,5.0,18,怒80,眩晕1.5s,对全体造成500%ATK并眩晕1.5秒；商营：若场上敌人数量≥3，则再造成目标最大生命6%的额外法伤
妲己,妲己_s1,普攻,Basic,1.0,0,0,,对当前目标造成100%ATK伤害
妲己,妲己_s2,魅惑妖瞳,Active,2.4,8,怒30,,为全队恢复等同施法者120%ATK的生命并净化1个减益
妲己,妲己_s3,九尾狐火,Active,3.0,12,怒40,,为前排施加护盾（等同施法者18%最大生命），并提升效果抵抗+15%×6秒
妲己,妲己_s4,惑心迷阵,Ultimate,5.0,18,怒80,,全队获得20%攻速+15%攻击×8秒，并立即回复30点怒；商营：若场上敌人数量≥3，则再造成目标最大生命6%的额外法伤
闻仲,闻仲_s1,普攻,Basic,1.0,0,0,,对当前目标造成100%ATK伤害
闻仲,闻仲_s2,天妃雷法,Active,2.4,8,怒30,减速30%×3s,对圆形范围造成240%ATK并减速
闻仲,闻仲_s3,雷霆护国,Active,3.0,12,怒40,禁疗3s,对单体造成320%ATK并施加易伤15%×6秒与禁疗
闻仲,闻仲_s4,五雷正法,Ultimate,5.0,18,怒80,眩晕1.5s,对全体造成500%ATK并眩晕1.5秒；商营：若场上敌人数量≥3，则再造成目标最大生命6%的额外法伤
孔宣,孔宣_s1,普攻,Basic,1.0,0,0,,对当前目标造成100%ATK伤害
孔宣,孔宣_s2,五色神光,Active,2.4,8,怒30,,直线穿透，命中目标与其后1名敌人，造成240%ATK
孔宣,孔宣_s3,摄物夺形,Active,3.0,12,怒40,,对随机3个目标各造成150%ATK，暴击率+15%×6秒
孔宣,孔宣_s4,光华无极,Ultimate,5.0,18,怒80,,对全体造成480%ATK，若目标被易伤则额外+15%伤害；商营：若场上敌人数量≥3，则再造成目标最大生命6%的额外法伤
张桂芳,张桂芳_s1,普攻,Basic,1.0,0,0,,对当前目标造成100%ATK伤害
张桂芳,张桂芳_s2,玄甲冲锋,Active,2.4,8,怒30,嘲讽2s,对前排造成240%ATK并嘲讽2秒，自身获得等同最大生命12%的护盾
张桂芳,张桂芳_s3,重盾列阵,Active,3.0,12,怒40,,为全队施加8%减伤与抵抗+10%，持续6秒
张桂芳,张桂芳_s4,钢壁铁流,Ultimate,5.0,18,怒80,击退1.5s,对全体造成500%ATK并击退，获得30%减伤与嘲讽3秒；商营：若场上敌人数量≥3，则再造成目标最大生命6%的额外法伤
崇侯虎,崇侯虎_s1,普攻,Basic,1.0,0,0,,对当前目标造成100%ATK伤害
崇侯虎,崇侯虎_s2,裂阵斩,Active,2.4,8,怒30,,对扇形范围造成240%ATK，并附加破甲20%×6秒
崇侯虎,崇侯虎_s3,逐日突击,Active,3.0,12,怒40,击飞0.8s,突进至后排目标造成300%ATK并击飞
崇侯虎,崇侯虎_s4,天罡终击,Ultimate,5.0,18,怒80,,对生命最低的敌人造成500%ATK，若其生命低于30%则斩杀；商营：若场上敌人数量≥3，则再造成目标最大生命6%的额外法伤
崇黑虎,崇黑虎_s1,普攻,Basic,1.0,0,0,,对当前目标造成100%ATK伤害
崇黑虎,崇黑虎_s2,裂阵斩,Active,2.4,8,怒30,,对扇形范围造成240%ATK，并附加破甲20%×6秒
崇黑虎,崇黑虎_s3,逐日突击,Active,3.0,12,怒40,击飞0.8s,突进至后排目标造成300%ATK并击飞
崇黑虎,崇黑虎_s4,天罡终击,Ultimate,5.0,18,怒80,,对生命最低的敌人造成500%ATK，若其生命低于30%则斩杀；商营：若场上敌人数量≥3，则再造成目标最大生命6%的额外法伤
邓九公,邓九公_s1,普攻,Basic,1.0,0,0,,对当前目标造成100%ATK伤害
邓九公,邓九公_s2,裂阵斩,Active,2.4,8,怒30,,对扇形范围造成240%ATK，并附加破甲20%×6秒
邓九公,邓九公_s3,逐日突击,Active,3.0,12,怒40,击飞0.8s,突进至后排目标造成300%ATK并击飞
邓九公,邓九公_s4,天罡终击,Ultimate,5.0,18,怒80,,对生命最低的敌人造成500%ATK，若其生命低于30%则斩杀；商营：若场上敌人数量≥3，则再造成目标最大生命6%的额外法伤
张奎,张奎_s1,普攻,Basic,1.0,0,0,,对当前目标造成100%ATK伤害
张奎,张奎_s2,裂阵斩,Active,2.4,8,怒30,,对扇形范围造成240%ATK，并附加破甲20%×6秒
张奎,张奎_s3,逐日突击,Active,3.0,12,怒40,击飞0.8s,突进至后排目标造成300%ATK并击飞
张奎,张奎_s4,天罡终击,Ultimate,5.0,18,怒80,,对生命最低的敌人造成500%ATK，若其生命低于30%则斩杀；商营：若场上敌人数量≥3，则再造成目标最大生命6%的额外法伤
高兰英,高兰英_s1,普攻,Basic,1.0,0,0,,对当前目标造成100%ATK伤害
高兰英,高兰英_s2,影袭,Active,2.4,8,怒30,,瞬移至后排造成260%ATK并标记（受伤+10%×6秒）
高兰英,高兰英_s3,绝杀,Active,3.0,12,怒40,,对单体造成320%ATK，若目标带有标记则额外+120%ATK
高兰英,高兰英_s4,无影连断,Ultimate,5.0,18,怒80,沉默1.5s,连续3段，共计520%ATK，并对后排施加沉默；商营：若场上敌人数量≥3，则再造成目标最大生命6%的额外法伤
飞廉,飞廉_s1,普攻,Basic,1.0,0,0,,对当前目标造成100%ATK伤害
飞廉,飞廉_s2,穿云矢,Active,2.4,8,怒30,,直线穿透，命中目标与其后1名敌人，造成240%ATK
飞廉,飞廉_s3,连珠,Active,3.0,12,怒40,,对随机3个目标各造成150%ATK，暴击率+15%×6秒
飞廉,飞廉_s4,万箭归宗,Ultimate,5.0,18,怒80,,对全体造成480%ATK，若目标被易伤则额外+15%伤害；商营：若场上敌人数量≥3，则再造成目标最大生命6%的额外法伤
恶来,恶来_s1,普攻,Basic,1.0,0,0,,对当前目标造成100%ATK伤害
恶来,恶来_s2,裂阵斩,Active,2.4,8,怒30,,对扇形范围造成240%ATK，并附加破甲20%×6秒
恶来,恶来_s3,逐日突击,Active,3.0,12,怒40,击飞0.8s,突进至后排目标造成300%ATK并击飞
恶来,恶来_s4,天罡终击,Ultimate,5.0,18,怒80,,对生命最低的敌人造成500%ATK，若其生命低于30%则斩杀；商营：若场上敌人数量≥3，则再造成目标最大生命6%的额外法伤
雷开,雷开_s1,普攻,Basic,1.0,0,0,,对当前目标造成100%ATK伤害
雷开,雷开_s2,裂阵斩,Active,2.4,8,怒30,,对扇形范围造成240%ATK，并附加破甲20%×6秒
雷开,雷开_s3,逐日突击,Active,3.0,12,怒40,击飞0.8s,突进至后排目标造成300%ATK并击飞
雷开,雷开_s4,天罡终击,Ultimate,5.0,18,怒80,,对生命最低的敌人造成500%ATK，若其生命低于30%则斩杀；商营：若场上敌人数量≥3，则再造成目标最大生命6%的额外法伤
殷破败,殷破败_s1,普攻,Basic,1.0,0,0,,对当前目标造成100%ATK伤害
殷破败,殷破败_s2,清心诀,Active,2.4,8,怒30,,为全队恢复等同施法者120%ATK的生命并净化1个减益
殷破败,殷破败_s3,御符,Active,3.0,12,怒40,,为前排施加护盾（等同施法者18%最大生命），并提升效果抵抗+15%×6秒
殷破败,殷破败_s4,太清加持,Ultimate,5.0,18,怒80,,全队获得20%攻速+15%攻击×8秒，并立即回复30点怒；商营：若场上敌人数量≥3，则再造成目标最大生命6%的额外法伤
晁田,晁田_s1,普攻,Basic,1.0,0,0,,对当前目标造成100%ATK伤害
晁田,晁田_s2,裂阵斩,Active,2.4,8,怒30,,对扇形范围造成240%ATK，并附加破甲20%×6秒
晁田,晁田_s3,逐日突击,Active,3.0,12,怒40,击飞0.8s,突进至后排目标造成300%ATK并击飞
晁田,晁田_s4,天罡终击,Ultimate,5.0,18,怒80,,对生命最低的敌人造成500%ATK，若其生命低于30%则斩杀；商营：若场上敌人数量≥3，则再造成目标最大生命6%的额外法伤
费仲,费仲_s1,普攻,Basic,1.0,0,0,,对当前目标造成100%ATK伤害
费仲,费仲_s2,清心诀,Active,2.4,8,怒30,,为全队恢复等同施法者120%ATK的生命并净化1个减益
费仲,费仲_s3,御符,Active,3.0,12,怒40,,为前排施加护盾（等同施法者18%最大生命），并提升效果抵抗+15%×6秒
费仲,费仲_s4,太清加持,Ultimate,5.0,18,怒80,,全队获得20%攻速+15%攻击×8秒，并立即回复30点怒；商营：若场上敌人数量≥3，则再造成目标最大生命6%的额外法伤
尤浑,尤浑_s1,普攻,Basic,1.0,0,0,,对当前目标造成100%ATK伤害
尤浑,尤浑_s2,清心诀,Active,2.4,8,怒30,,为全队恢复等同施法者120%ATK的生命并净化1个减益
尤浑,尤浑_s3,御符,Active,3.0,12,怒40,,为前排施加护盾（等同施法者18%最大生命），并提升效果抵抗+15%×6秒
尤浑,尤浑_s4,太清加持,Ultimate,5.0,18,怒80,,全队获得20%攻速+15%攻击×8秒，并立即回复30点怒；商营：若场上敌人数量≥3，则再造成目标最大生命6%的额外法伤
方弼,方弼_s1,普攻,Basic,1.0,0,0,,对当前目标造成100%ATK伤害
方弼,方弼_s2,裂阵斩,Active,2.4,8,怒30,,对扇形范围造成240%ATK，并附加破甲20%×6秒
方弼,方弼_s3,逐日突击,Active,3.0,12,怒40,击飞0.8s,突进至后排目标造成300%ATK并击飞
方弼,方弼_s4,天罡终击,Ultimate,5.0,18,怒80,,对生命最低的敌人造成500%ATK，若其生命低于30%则斩杀；商营：若场上敌人数量≥3，则再造成目标最大生命6%的额外法伤
方相,方相_s1,普攻,Basic,1.0,0,0,,对当前目标造成100%ATK伤害
方相,方相_s2,裂阵斩,Active,2.4,8,怒30,,对扇形范围造成240%ATK，并附加破甲20%×6秒
方相,方相_s3,逐日突击,Active,3.0,12,怒40,击飞0.8s,突进至后排目标造成300%ATK并击飞
方相,方相_s4,天罡终击,Ultimate,5.0,18,怒80,,对生命最低的敌人造成500%ATK，若其生命低于30%则斩杀；商营：若场上敌人数量≥3，则再造成目标最大生命6%的额外法伤
梅伯,梅伯_s1,普攻,Basic,1.0,0,0,,对当前目标造成100%ATK伤害
梅伯,梅伯_s2,清心诀,Active,2.4,8,怒30,,为全队恢复等同施法者120%ATK的生命并净化1个减益
梅伯,梅伯_s3,御符,Active,3.0,12,怒40,,为前排施加护盾（等同施法者18%最大生命），并提升效果抵抗+15%×6秒
梅伯,梅伯_s4,太清加持,Ultimate,5.0,18,怒80,,全队获得20%攻速+15%攻击×8秒，并立即回复30点怒；商营：若场上敌人数量≥3，则再造成目标最大生命6%的额外法伤
